experiment_id,experiment_name,model_type,variant,timestamp,mrr,recall@5,recall@10,recall@20,ndcg@10,ndcg@20,model_path,notes
bm25_baseline_20251130_101830,BM25 Baseline,bm25,baseline,2025-11-30T10:18:30.157392,0.2416237541891009,0.3283898305084746,0.4173728813559322,0.5148305084745762,0.278065433668327,0.302878224322126,,Traditional BM25 sparse retrieval baseline
bm25_baseline_20251130_102403,BM25 Baseline,bm25,baseline,2025-11-30T10:24:03.811466,0.2416237541891009,0.3283898305084746,0.4173728813559322,0.5148305084745762,0.278065433668327,0.302878224322126,,Traditional BM25 sparse retrieval baseline
tfidf_baseline_20251130_102405,TF-IDF Baseline,tfidf,baseline,2025-11-30T10:24:05.888559,0.2570312966289511,0.3389830508474576,0.461864406779661,0.5932203389830508,0.29832828537802053,0.33136966695436915,,TF-IDF sparse retrieval baseline
bm25_baseline_20251130_102456,BM25 Baseline,bm25,baseline,2025-11-30T10:24:56.483246,0.2416237541891009,0.3283898305084746,0.4173728813559322,0.5148305084745762,0.278065433668327,0.302878224322126,,Traditional BM25 sparse retrieval baseline
bm25_baseline_20251130_102511,BM25 Baseline,bm25,baseline,2025-11-30T10:25:11.292282,0.2416237541891009,0.3283898305084746,0.4173728813559322,0.5148305084745762,0.278065433668327,0.302878224322126,,Traditional BM25 sparse retrieval baseline
tfidf_baseline_20251130_102513,TF-IDF Baseline,tfidf,baseline,2025-11-30T10:25:13.368418,0.2570312966289511,0.3389830508474576,0.461864406779661,0.5932203389830508,0.29832828537802053,0.33136966695436915,,TF-IDF sparse retrieval baseline
prf_baseline_20251130_102536,Query Expansion + BM25,prf,baseline,2025-11-30T10:25:36.116065,0.24989379080780863,0.326271186440678,0.4194915254237288,0.538135593220339,0.28376347819411346,0.31368714209668125,,Pseudo-relevance feedback with BM25
specter2_zero-shot_20251130_103309,SPECTER2 Zero-shot,specter2,zero-shot,2025-11-30T10:33:09.695924,0.28010258381422853,0.375,0.4872881355932203,0.5677966101694916,0.32458187316810916,0.3449386667448846,,SPECTER2 dense retrieval zero-shot
colbert_zero-shot_20251130_103309,ColBERT Zero-shot,colbert,zero-shot,2025-11-30T10:33:09.829899,0.0,0.0,0.0,0.0,0.0,0.0,,ColBERT late interaction zero-shot
cross_encoder_zero-shot_20251130_103313,Cross-Encoder Zero-shot,cross_encoder,zero-shot,2025-11-30T10:33:13.767525,0.0,0.0,0.0,0.0,0.0,0.0,,Cross-Encoder reranker zero-shot (MS-MARCO)
rrf_zero-shot_20251130_115646,RRF (Zero-shot),rrf,zero-shot,2025-11-30T11:56:46.889753,0.0,0.0,0.0,0.0,0.0,0.0,,Reciprocal Rank Fusion with zero-shot models
rrf_fine-tuned_20251130_115647,RRF (Fine-tuned),rrf,fine-tuned,2025-11-30T11:56:47.014384,0.0,0.0,0.0,0.0,0.0,0.0,,Reciprocal Rank Fusion with fine-tuned models
l2r_zero-shot_20251130_131917,LightGBM L2R (Zero-shot),l2r,zero-shot,2025-11-30T13:19:17.340808,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/l2r/zs/l2r_model.txt,LightGBM Learning-to-Rank with zero-shot features
l2r_zero-shot_20251130_132050,LightGBM L2R (Zero-shot),l2r,zero-shot,2025-11-30T13:20:50.938703,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/l2r/zs/l2r_model.txt,LightGBM Learning-to-Rank with zero-shot features
scibert_zero-shot_20251130_132231,SciBERT Zero-shot,scibert,zero-shot,2025-11-30T13:22:31.225011,0.0,0.0,0.0,0.0,0.0,0.0,,SciBERT bi-encoder zero-shot
scibert_zero-shot_20251130_132319,SciBERT Zero-shot,scibert,zero-shot,2025-11-30T13:23:19.838560,0.0,0.0,0.0,0.0,0.0,0.0,,SciBERT bi-encoder zero-shot
specter2_zero-shot_20251130_132331,SPECTER2 Zero-shot,specter2,zero-shot,2025-11-30T13:23:31.768465,0.28010258381422853,0.375,0.4872881355932203,0.5677966101694916,0.32458187316810916,0.3449386667448846,,SPECTER2 dense retrieval zero-shot
colbert_zero-shot_20251130_132331,ColBERT Zero-shot,colbert,zero-shot,2025-11-30T13:23:31.905400,0.0,0.0,0.0,0.0,0.0,0.0,,ColBERT late interaction zero-shot
cross_encoder_zero-shot_20251130_132335,Cross-Encoder Zero-shot,cross_encoder,zero-shot,2025-11-30T13:23:35.275625,0.0,0.0,0.0,0.0,0.0,0.0,,Cross-Encoder reranker zero-shot (MS-MARCO)
rrf_zero-shot_20251130_132346,RRF (Zero-shot),rrf,zero-shot,2025-11-30T13:23:46.129388,0.0,0.0,0.0,0.0,0.0,0.0,,Reciprocal Rank Fusion with zero-shot models
rrf_fine-tuned_20251130_132346,RRF (Fine-tuned),rrf,fine-tuned,2025-11-30T13:23:46.258432,0.0,0.0,0.0,0.0,0.0,0.0,,Reciprocal Rank Fusion with fine-tuned models
l2r_zero-shot_20251130_132346,LightGBM L2R (Zero-shot),l2r,zero-shot,2025-11-30T13:23:46.396403,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/l2r/zs/l2r_model.txt,LightGBM Learning-to-Rank with zero-shot features
l2r_fine-tuned_20251130_134849,LightGBM L2R (Fine-tuned),l2r,fine-tuned,2025-11-30T13:48:49.196201,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/l2r/ft/l2r_model.txt,LightGBM Learning-to-Rank with fine-tuned features
scibert_fine-tuned_20251130_135155,SciBERT Fine-tuned,scibert,fine-tuned,2025-11-30T13:51:55.191539,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/scibert,SciBERT bi-encoder fine-tuned on citation data
pipeline_basic_20251130_135202,Multi-Stage Pipeline (Basic),pipeline,basic,2025-11-30T13:52:02.336101,0.0,0.0,0.0,0.0,0.0,0.0,,Basic multi-stage pipeline
scibert_zero-shot_20251130_140318,SciBERT Zero-shot,scibert,zero-shot,2025-11-30T14:03:18.595910,0.0,0.0,0.0,0.0,0.0,0.0,,SciBERT bi-encoder zero-shot
specter2_zero-shot_20251130_140328,SPECTER2 Zero-shot,specter2,zero-shot,2025-11-30T14:03:28.968835,0.28010258381422853,0.375,0.4872881355932203,0.5677966101694916,0.32458187316810916,0.3449386667448846,,SPECTER2 dense retrieval zero-shot
colbert_zero-shot_20251130_140329,ColBERT Zero-shot,colbert,zero-shot,2025-11-30T14:03:29.107786,0.0,0.0,0.0,0.0,0.0,0.0,,ColBERT late interaction zero-shot
cross_encoder_zero-shot_20251130_140332,Cross-Encoder Zero-shot,cross_encoder,zero-shot,2025-11-30T14:03:32.403327,0.0,0.0,0.0,0.0,0.0,0.0,,Cross-Encoder reranker zero-shot (MS-MARCO)
rrf_zero-shot_20251130_140332,RRF (Zero-shot),rrf,zero-shot,2025-11-30T14:03:32.582345,0.0,0.0,0.0,0.0,0.0,0.0,,Reciprocal Rank Fusion with zero-shot models
l2r_zero-shot_20251130_140332,LightGBM L2R (Zero-shot),l2r,zero-shot,2025-11-30T14:03:32.739025,0.0,0.0,0.0,0.0,0.0,0.0,/hy-tmp/final_test/experiments/checkpoints/l2r/zs/l2r_model.txt,LightGBM Learning-to-Rank with zero-shot features
